stop_id,stop_name,similar_stop_id,similar_stop_name
1,小清水,1,小清水
1_2,小清水,1,小清水
2,ふれあいセンター,2,ふれあいセンター
2_1,ふれあいセンター,2,ふれあいセンター
2_2,ふれあいセンター,2,ふれあいセンター
3,６区,3,６区
3_1,６区,3,６区
3_2,６区,3,６区
4,５区,4,５区
4_2,５区,4,５区
5,４区,5,４区
5_1,４区,5,４区
5_2,４区,5,４区
6,下町２区,6,下町２区
6_1,下町２区,6,下町２区
6_2,下町２区,6,下町２区
7,小清水１区,7,小清水１区
7_1,小清水１区,7,小清水１区
7_2,小清水１区,7,小清水１区
8,消防署前,8,消防署前
8_1,消防署前,8,消防署前
8_2,消防署前,8,消防署前
9,南８号,9,南８号
9_1,南８号,9,南８号
9_2,南８号,9,南８号
10,北光前,10,北光前
10_1,北光前,10,北光前
10_2,北光前,10,北光前
11,南７号,11,南７号
11_1,南７号,11,南７号
11_2,南７号,11,南７号
12,南６号,12,南６号
12_1,南６号,12,南６号
12_2,南６号,12,南６号
13,南５号,13,南５号
13_1,南５号,13,南５号
13_2,南５号,13,南５号
14,南４号,14,南４号
14_1,南４号,14,南４号
14_2,南４号,14,南４号
15,南３号,15,南３号
15_1,南３号,15,南３号
15_2,南３号,15,南３号
16,南１号,16,南１号
16_1,南１号,16,南１号
16_2,南１号,16,南１号
17,０号,17,０号
17_1,０号,17,０号
17_2,０号,17,０号
18,１８線,18,１８線
18_1,１８線,18,１８線
18_2,１８線,18,１８線
19,２０線,19,２０線
19_1,２０線,19,２０線
19_2,２０線,19,２０線
20,２１線,20,２１線
20_1,２１線,20,２１線
20_2,２１線,20,２１線
21,北２号,21,北２号
21_1,北２号,21,北２号
21_2,北２号,21,北２号
22,北４号,22,北４号
22_1,北４号,22,北４号
22_2,北４号,22,北４号
23,浜小清水神社前,23,浜小清水神社前
23_1,浜小清水神社前,23,浜小清水神社前
23_2,浜小清水神社前,23,浜小清水神社前
24,浜小清水駅前,24,浜小清水駅前
24_1,浜小清水駅前,24,浜小清水駅前
24_2,浜小清水駅前,24,浜小清水駅前
25,浦士別入口,25,浦士別入口
25_1,浦士別入口,25,浦士別入口
25_2,浦士別入口,25,浦士別入口
26,原生花園,26,原生花園
26_1,原生花園,26,原生花園
26_2,原生花園,26,原生花園
27,とうふつ橋,27,とうふつ橋
27_1,とうふつ橋,27,とうふつ橋
27_2,とうふつ橋,27,とうふつ橋
28,白鳥公園入口,28,白鳥公園入口
28_1,白鳥公園入口,28,白鳥公園入口
28_2,白鳥公園入口,28,白鳥公園入口
29,竹中商店前,29,竹中商店前
29_1,竹中商店前,29,竹中商店前
29_2,竹中商店前,29,竹中商店前
30,北浜駅前,30,北浜駅前
30_1,北浜駅前,30,北浜駅前
30_2,北浜駅前,30,北浜駅前
31,浜藻琴,31,浜藻琴
31_1,浜藻琴,31,浜藻琴
31_2,浜藻琴,31,浜藻琴
32,藻琴局前,32,藻琴局前
32_1,藻琴局前,32,藻琴局前
32_2,藻琴局前,32,藻琴局前
33,藻琴駅前,33,藻琴駅前
33_1,藻琴駅前,33,藻琴駅前
33_2,藻琴駅前,33,藻琴駅前
34,藻琴海岸通り,34,藻琴海岸通り
34_1,藻琴海岸通り,34,藻琴海岸通り
34_2,藻琴海岸通り,34,藻琴海岸通り
35,佐々木漁場前,35,佐々木漁場前
35_1,佐々木漁場前,35,佐々木漁場前
35_2,佐々木漁場前,35,佐々木漁場前
36,オホーツク団地,36,オホーツク団地
36_1,オホーツク団地,36,オホーツク団地
36_2,オホーツク団地,36,オホーツク団地
37,中園入口,37,中園入口
37_1,中園入口,37,中園入口
37_2,中園入口,37,中園入口
38,鱒浦駅前,38,鱒浦駅前
38_1,鱒浦駅前,38,鱒浦駅前
38_2,鱒浦駅前,38,鱒浦駅前
39,鱒浦局前,39,鱒浦局前
39_1,鱒浦局前,39,鱒浦局前
39_2,鱒浦局前,39,鱒浦局前
40,鱒浦築港,40,鱒浦築港
40_1,鱒浦築港,40,鱒浦築港
40_2,鱒浦築港,40,鱒浦築港
41,つくしヶ丘団地中央,41,つくしヶ丘団地中央
41_1,つくしヶ丘団地中央,41,つくしヶ丘団地中央
41_2,つくしヶ丘団地中央,41,つくしヶ丘団地中央
42,つくしヶ丘団地入口,42,つくしヶ丘団地入口
42_1,つくしヶ丘団地入口,42,つくしヶ丘団地入口
42_2,つくしヶ丘団地入口,42,つくしヶ丘団地入口
43,駒場８丁目,43,駒場８丁目
43_1,駒場８丁目,43,駒場８丁目
43_2,駒場８丁目,43,駒場８丁目
44,駒場５丁目,44,駒場５丁目
44_1,駒場５丁目,44,駒場５丁目
44_2,駒場５丁目,44,駒場５丁目
44_3,駒場５丁目,44,駒場５丁目
45,駒場３丁目,45,駒場３丁目
45_1,駒場３丁目,45,駒場３丁目
45_2,駒場３丁目,45,駒場３丁目
45_3,駒場３丁目,45,駒場３丁目
45_4,駒場３丁目,45,駒場３丁目
46,駒場１丁目,46,駒場１丁目
46_1,駒場１丁目,46,駒場１丁目
46_2,駒場１丁目,46,駒場１丁目
47,桂町３丁目,47,桂町３丁目
47_1,桂町３丁目,47,桂町３丁目
47_2,桂町３丁目,47,桂町３丁目
48,台町３丁目,48,台町３丁目
48_1,台町３丁目,48,台町３丁目
48_2,台町３丁目,48,台町３丁目
49,南高前,49,南高前
49_1,南高前,49,南高前
49_2,南高前,49,南高前
50,台町２丁目,50,台町２丁目
50_1,台町２丁目,50,台町２丁目
50_2,台町２丁目,50,台町２丁目
51,台町１丁目,51,台町１丁目
51_2,台町１丁目,51,台町１丁目
52,東５丁目,52,東５丁目
52_1,東５丁目,52,東５丁目
52_2,東５丁目,52,東５丁目
53,桂町２丁目,53,桂町２丁目
53_2,桂町２丁目,53,桂町２丁目
54,南８条,54,南８条
54_1,南８条,54,南８条
54_2,南８条,54,南８条
55,東３丁目,55,東３丁目
55_1,東３丁目,55,東３丁目
55_2,東３丁目,55,東３丁目
56,東１丁目,56,東１丁目
56_1,東１丁目,56,東１丁目
56_2,東１丁目,56,東１丁目
57,西２丁目,57,西２丁目
57_1,西２丁目,57,西２丁目
57_2,西２丁目,57,西２丁目
58,網走バスターミナル,58,網走バスターミナル
58_1,網走バスターミナル,58,網走バスターミナル
58_3,網走バスターミナル,58,網走バスターミナル
58_5,網走バスターミナル,58,網走バスターミナル
58_6,網走バスターミナル,58,網走バスターミナル
59,モヨロ入口,59,モヨロ入口
59_1,モヨロ入口,59,モヨロ入口
59_2,モヨロ入口,59,モヨロ入口
60,厚生病院前,60,厚生病院前
60_1,厚生病院前,60,厚生病院前
60_2,厚生病院前,60,厚生病院前
61,オホーツク合同庁舎前,61,オホーツク合同庁舎前
61_1,オホーツク合同庁舎前,61,オホーツク合同庁舎前
61_2,オホーツク合同庁舎前,61,オホーツク合同庁舎前
62,向陽入口,62,向陽入口
62_1,向陽入口,62,向陽入口
62_2,向陽入口,62,向陽入口
63,向陽病院前,63,向陽病院前
63_1,向陽病院前,63,向陽病院前
63_2,向陽病院前,63,向陽病院前
64,中央小学校,64,中央小学校
64_1,中央小学校,64,中央小学校
64_2,中央小学校,64,中央小学校
65,向陽団地南,65,向陽団地南
65_1,向陽団地南,65,向陽団地南
66,向陽団地中央,66,向陽団地中央
66_1,向陽団地中央,66,向陽団地中央
66_2,向陽団地中央,66,向陽団地中央
67,団地アパート前,67,団地アパート前
67_2,団地アパート前,67,団地アパート前
68,西７丁目,68,西７丁目
68_1,西７丁目,68,西７丁目
68_2,西７丁目,68,西７丁目
69,エコーセンター,69,エコーセンター
69_1,エコーセンター,69,エコーセンター
69_2,エコーセンター,69,エコーセンター
70,西４丁目,70,西４丁目
70_1,西４丁目,70,西４丁目
70_2,西４丁目,70,西４丁目
71,網走駅前,71,網走駅前
71_1,網走駅前,71,網走駅前
71_2,網走駅前,71,網走駅前
71_3,網走駅前,71,網走駅前
72,西小学校前,72,西小学校前
72_1,西小学校前,72,西小学校前
72_2,西小学校前,72,西小学校前
73,ハローワーク前,73,ハローワーク前
73_1,ハローワーク前,73,ハローワーク前
73_2,ハローワーク前,73,ハローワーク前
74,刑務所前,74,刑務所前
74_1,刑務所前,74,刑務所前
74_2,刑務所前,74,刑務所前
75,大曲,75,大曲
75_1,大曲,75,大曲
75_2,大曲,75,大曲
76,二見新町,76,二見新町
76_1,二見新町,76,二見新町
76_2,二見新町,76,二見新町
77,能取漁港入口,77,能取漁港入口
