stop_id,stop_name,similar_stop_id,similar_stop_name
58,網走バスターミナル,58,網走バスターミナル
58_3,網走バスターミナル,58,網走バスターミナル
58_6,網走バスターミナル,58,網走バスターミナル
70,西４丁目,70,西４丁目
70_1,西４丁目,70,西４丁目
70_2,西４丁目,70,西４丁目
71,網走駅前,71,網走駅前
71_1,網走駅前,71,網走駅前
71_2,網走駅前,71,網走駅前
72,西小学校前,72,西小学校前
72_1,西小学校前,72,西小学校前
72_2,西小学校前,72,西小学校前
73,ハローワーク前,73,ハローワーク前
73_1,ハローワーク前,73,ハローワーク前
73_2,ハローワーク前,73,ハローワーク前
74,刑務所前,74,刑務所前
74_1,刑務所前,74,刑務所前
74_2,刑務所前,74,刑務所前
119,市営住宅前,119,市営住宅前
119_1,市営住宅前,119,市営住宅前
119_2,市営住宅前,119,市営住宅前
120,天都山入口,120,天都山入口
120_1,天都山入口,120,天都山入口
120_2,天都山入口,120,天都山入口
210,湖の口,210,湖の口
210_1,湖の口,210,湖の口
210_2,湖の口,210,湖の口
211,博物館網走監獄,211,博物館網走監獄
211_1,博物館網走監獄,211,博物館網走監獄
211_2,博物館網走監獄,211,博物館網走監獄
212,オホーツク流氷館,212,オホーツク流氷館
212_1,オホーツク流氷館,212,オホーツク流氷館
212_2,オホーツク流氷館,212,オホーツク流氷館
213,北方民族博物館,213,北方民族博物館
213_1,北方民族博物館,213,北方民族博物館
213_2,北方民族博物館,213,北方民族博物館
