stop_id,stop_name,similar_stop_id,similar_stop_name
1003_01,釧路駅前バスターミナル,1003_01,釧路駅前バスターミナル
1003_02,釧路駅前バスターミナル,1003_01,釧路駅前バスターミナル
8_01,北陸銀行,8_01,北陸銀行
8_02,北陸銀行,8_01,北陸銀行
9_01,十字街7丁目,9_01,十字街7丁目
9_02,十字街7丁目,9_01,十字街7丁目
10_01,栄町6丁目,10_01,栄町6丁目
10_02,栄町6丁目,10_01,栄町6丁目
11_01,旭町,11_01,旭町
11_02,旭町,11_01,旭町
12_01,駅北口,12_01,駅北口
12_02,駅北口,12_01,駅北口
13_01,道銀前,13_01,道銀前
13_02,道銀前,13_01,道銀前
14_01,三共,14_01,三共
14_02,三共,14_01,三共
15_01,共栄大通り7月丁目,15_01,共栄大通り7月丁目
15_02,共栄大通り7月丁目,15_01,共栄大通り7月丁目
16_01,日赤通り,16_01,日赤通り
16_02,日赤通り,16_01,日赤通り
17_01,大曲,17_01,大曲
17_02,大曲,17_01,大曲
18_01,新橋大通り4丁目,18_01,新橋大通り4丁目
18_02,新橋大通り4丁目,18_01,新橋大通り4丁目
19_01,新橋大通り6丁目,19_01,新橋大通り6丁目
19_02,新橋大通り6丁目,19_01,新橋大通り6丁目
20_01,治水入口,20_01,治水入口
20_02,治水入口,20_01,治水入口
21_01,鳥取大通り2丁目（A）,21_01,鳥取大通り2丁目（A）
21_02,鳥取大通り2丁目（A）,21_01,鳥取大通り2丁目（A）
22_01,鳥取大通り3丁目,22_01,鳥取大通り3丁目
22_02,鳥取大通り3丁目,22_01,鳥取大通り3丁目
23_01,鳥取神社前（A）,23_01,鳥取神社前（A）
23_02,鳥取神社前（A）,23_01,鳥取神社前（A）
24_01,鳥取大通り4丁目,24_01,鳥取大通り4丁目
24_02,鳥取大通り4丁目,24_01,鳥取大通り4丁目
25_01,鳥取大通り5丁目,25_01,鳥取大通り5丁目
25_02,鳥取大通り5丁目,25_01,鳥取大通り5丁目
26_01,運輸支局（A）,26_01,運輸支局（A）
26_02,運輸支局（A）,26_01,運輸支局（A）
27_01,西郵便局前,27_01,西郵便局前
27_02,西郵便局前,27_01,西郵便局前
28_01,鳥取分岐（A）,28_01,鳥取分岐（A）
28_02,鳥取分岐（A）,28_01,鳥取分岐（A）
29_01,鳥取大通り9丁目,29_01,鳥取大通り9丁目
29_02,鳥取大通り9丁目,29_01,鳥取大通り9丁目
30_01,星が浦大通り1丁目,30_01,星が浦大通り1丁目
30_02,星が浦大通り1丁目,30_01,星が浦大通り1丁目
31_01,星が浦ショッピングセンター,31_01,星が浦ショッピングセンター
31_02,星が浦ショッピングセンター,31_01,星が浦ショッピングセンター
32_01,星が浦大通り2丁目,32_01,星が浦大通り2丁目
32_02,星が浦大通り2丁目,32_01,星が浦大通り2丁目
33_01,星が浦大通り3丁目,33_01,星が浦大通り3丁目
33_02,星が浦大通り3丁目,33_01,星が浦大通り3丁目
34_01,星が浦大通り4丁目,34_01,星が浦大通り4丁目
34_02,星が浦大通り4丁目,34_01,星が浦大通り4丁目
35_01,星が浦大通り5丁目,35_01,星が浦大通り5丁目
35_02,星が浦大通り5丁目,35_01,星が浦大通り5丁目
36_01,大楽毛1丁目,36_01,大楽毛1丁目
36_02,大楽毛1丁目,36_01,大楽毛1丁目
37_01,大楽毛2丁目,37_01,大楽毛2丁目
37_02,大楽毛2丁目,37_01,大楽毛2丁目
45_01,試験場前,45_01,試験場前
45_02,試験場前,45_01,試験場前
46_01,鶴野支援学校,46_01,鶴野支援学校
46_02,鶴野支援学校,46_01,鶴野支援学校
47_01,大楽毛北2丁目,47_01,大楽毛北2丁目
47_02,大楽毛北2丁目,47_01,大楽毛北2丁目
48_01,王子社宅前,48_01,王子社宅前
48_02,王子社宅前,48_01,王子社宅前
49_01,王子製紙正門（A）,49_01,王子製紙正門（A）
49_02,王子製紙正門（A）,49_01,王子製紙正門（A）
39_01,大楽毛3丁目,39_01,大楽毛3丁目
39_02,大楽毛3丁目,39_01,大楽毛3丁目
40_01,大楽毛駅前,40_01,大楽毛駅前
40_02,大楽毛駅前,40_01,大楽毛駅前
41_01,大楽毛分岐,41_01,大楽毛分岐
41_02,大楽毛分岐,41_01,大楽毛分岐
42_01,高専前,42_01,高専前
42_02,高専前,42_01,高専前
102_01,鳥取大通り1丁目,102_01,鳥取大通り1丁目
102_02,鳥取大通り1丁目,102_01,鳥取大通り1丁目
103_01,不二橋詰,103_01,不二橋詰
103_02,不二橋詰,103_01,不二橋詰
104_01,昭和3丁目,104_01,昭和3丁目
104_02,昭和3丁目,104_01,昭和3丁目
105_02,昭和4丁目,105_02,昭和4丁目
106_02,昭和中通,106_02,昭和中通
119_01,昭和南3丁目,119_01,昭和南3丁目
119_02,昭和南3丁目,119_01,昭和南3丁目
120_01,農協ビル前,120_01,農協ビル前
120_02,農協ビル前,120_01,農協ビル前
121_01,雄鉄線通り,121_01,雄鉄線通り
121_02,雄鉄線通り,121_01,雄鉄線通り
122_01,昭和南4丁目,122_01,昭和南4丁目
122_02,昭和南4丁目,122_01,昭和南4丁目
123_01,商業高校,123_01,商業高校
123_02,商業高校,123_01,商業高校
107_02,昭和小学校,107_02,昭和小学校
108_02,昭和団地,108_02,昭和団地
109_01,学園橋通り,109_01,学園橋通り
109_02,学園橋通り,109_01,学園橋通り
110_01,昭和中央,110_01,昭和中央
110_02,昭和中央,110_01,昭和中央
111_01,昭和北3丁目,111_01,昭和北3丁目
111_02,昭和北3丁目,111_01,昭和北3丁目
112_01,昭和,112_01,昭和
112_02,昭和,112_01,昭和
113_01,北病院,113_01,北病院
113_02,北病院,113_01,北病院
114_01,イオン昭和店,114_01,イオン昭和店
116_01,昭和中央2丁目,116_01,昭和中央2丁目
116_02,昭和中央2丁目,116_01,昭和中央2丁目
117_01,釧路専門学校,117_01,釧路専門学校
117_02,釧路専門学校,117_01,釧路専門学校
118_01,北橋通り,118_01,北橋通り
118_02,北橋通り,118_01,北橋通り
126_01,鳥取小学校,126_01,鳥取小学校
126_02,鳥取小学校,126_01,鳥取小学校
127_01,はなしのぶ通り,127_01,はなしのぶ通り
127_02,はなしのぶ通り,127_01,はなしのぶ通り
128_01,昭和南5丁目,128_01,昭和南5丁目
128_02,昭和南5丁目,128_01,昭和南5丁目
129_01,西通,129_01,西通
129_02,西通,129_01,西通
130_01,昭和南6－15,130_01,昭和南6－15
130_02,昭和南6－15,130_01,昭和南6－15
131_01,鳥取北6丁目,131_01,鳥取北6丁目
131_02,鳥取北6丁目,131_01,鳥取北6丁目
43_01,よつ葉乳業,43_01,よつ葉乳業
43_02,よつ葉乳業,43_01,よつ葉乳業
50_01,北畜前,50_01,北畜前
50_02,北畜前,50_01,北畜前
51_01,バラス山,51_01,バラス山
51_02,バラス山,51_01,バラス山
52_01,流通センター,52_01,流通センター
52_02,流通センター,52_01,流通センター
53_01,鶴ヶ丘学園,53_01,鶴ヶ丘学園
53_02,鶴ヶ丘学園,53_01,鶴ヶ丘学園
54_01,釧路空港,54_01,釧路空港
200_01,鳥取北10丁目,200_01,鳥取北10丁目
200_02,鳥取北10丁目,200_01,鳥取北10丁目
201_01,星が浦北1－1,201_01,星が浦北1－1
201_02,星が浦北1－1,201_01,星が浦北1－1
202_01,星が浦北1－3,202_01,星が浦北1－3
202_02,星が浦北1－3,202_01,星が浦北1－3
203_01,星が浦北2－4,203_01,星が浦北2－4
203_02,星が浦北2－4,203_01,星が浦北2－4
204_01,星が浦北2－3,204_01,星が浦北2－3
204_02,星が浦北2－3,204_01,星が浦北2－3
205_01,星が浦北3丁目,205_01,星が浦北3丁目
205_02,星が浦北3丁目,205_01,星が浦北3丁目
206_01,鶴野小学校,206_01,鶴野小学校
