stop_id,stop_name,similar_stop_id,similar_stop_name
1_01,絵鞆団地,1_01,絵鞆団地
2_01,絵鞆２丁目,2_01,絵鞆２丁目
2_02,絵鞆２丁目,2_01,絵鞆２丁目
3_01,絵鞆中央,3_01,絵鞆中央
3_02,絵鞆中央,3_01,絵鞆中央
4_01,絵鞆公園前,4_01,絵鞆公園前
5_01,公営住宅前,5_01,公営住宅前
11_01,絵鞆１丁目,11_01,絵鞆１丁目
11_02,絵鞆１丁目,11_01,絵鞆１丁目
12_01,緑丘,12_01,緑丘
12_02,緑丘,12_01,緑丘
13_01,祝津公園入口,13_01,祝津公園入口
13_02,祝津公園入口,13_01,祝津公園入口
14_01,祝津町２丁目,14_01,祝津町２丁目
14_02,祝津町２丁目,14_01,祝津町２丁目
15_01,室蘭築港,15_01,室蘭築港
15_02,室蘭築港,15_01,室蘭築港
16_01,ドック前,16_01,ドック前
16_02,ドック前,16_01,ドック前
17_01,楢崎造船前,17_01,楢崎造船前
17_02,楢崎造船前,17_01,楢崎造船前
21_01,養護老人ホームあいらん前,21_01,養護老人ホームあいらん前
21_02,養護老人ホームあいらん前,21_01,養護老人ホームあいらん前
22_01,港南町入口,22_01,港南町入口
22_02,港南町入口,22_01,港南町入口
23_01,港南町２丁目,23_01,港南町２丁目
23_02,港南町２丁目,23_01,港南町２丁目
31_32,清水丘高校前,31_32,清水丘高校前
32_01,増市通,32_01,増市通
33_01,桜ケ丘,33_01,桜ケ丘
33_02,桜ケ丘,33_01,桜ケ丘
41_01,みなと小学校前,41_01,みなと小学校前
41_02,みなと小学校前,41_01,みなと小学校前
42_01,港南町１丁目,42_01,港南町１丁目
42_02,港南町１丁目,42_01,港南町１丁目
51_01,港南町,51_01,港南町
51_02,港南町,51_01,港南町
52_01,小橋内,52_01,小橋内
52_02,小橋内,52_01,小橋内
53_01,小橋内１丁目,53_01,小橋内１丁目
53_02,小橋内１丁目,53_01,小橋内１丁目
61_01,通船前,61_01,通船前
61_02,通船前,61_01,通船前
71_01,中央埠頭入口,71_01,中央埠頭入口
71_02,中央埠頭入口,71_01,中央埠頭入口
81_03,室蘭観光協会前,81_03,室蘭観光協会前
81_04,室蘭観光協会前,81_03,室蘭観光協会前
81_05,室蘭観光協会前,81_03,室蘭観光協会前
81_06,室蘭観光協会前,81_03,室蘭観光協会前
82_02,室蘭駅前,82_02,室蘭駅前
82_04,室蘭駅前,82_02,室蘭駅前
83_01,室蘭駅前広場,83_01,室蘭駅前広場
2572_10,共栄,2572_10,共栄
2572_11,共栄,2572_10,共栄
1492_10,新冠農協前,1492_10,新冠農協前
101_01,中央町,101_01,中央町
101_02,中央町,101_01,中央町
101_03,中央町,101_01,中央町
111_01,小公園前,111_01,小公園前
112_01,市役所前,112_01,市役所前
112_02,市役所前,112_01,市役所前
113_01,市役所北,113_01,市役所北
114_01,市立病院前,114_01,市立病院前
114_02,市立病院前,114_01,市立病院前
115_01,千歳交差点,115_01,千歳交差点
121_01,市港湾部前,121_01,市港湾部前
121_02,市港湾部前,121_01,市港湾部前
122_01,室蘭フェリーターミナル,122_01,室蘭フェリーターミナル
123_01,入江臨海公園,123_01,入江臨海公園
123_02,入江臨海公園,123_01,入江臨海公園
2067_10,日高東別,2067_10,日高東別
2067_11,日高東別,2067_10,日高東別
2068_10,西端生活館,2068_10,西端生活館
2098_10,蓬栄,2098_10,蓬栄
2098_11,蓬栄,2098_10,蓬栄
141_01,ＮＨＫ前,141_01,ＮＨＫ前
141_02,ＮＨＫ前,141_01,ＮＨＫ前
141_05,ＮＨＫ前,141_01,ＮＨＫ前
142_01,日鋼記念病院前,142_01,日鋼記念病院前
142_02,日鋼記念病院前,142_01,日鋼記念病院前
151_01,母恋駅前,151_01,母恋駅前
151_02,母恋駅前,151_01,母恋駅前
151_03,母恋駅前,151_01,母恋駅前
161_01,北町中央,161_01,北町中央
161_02,北町中央,161_01,北町中央
162_01,交番前,162_01,交番前
162_02,交番前,162_01,交番前
163_01,南町２丁目,163_01,南町２丁目
163_02,南町２丁目,163_01,南町２丁目
164_01,宮前,164_01,宮前
164_02,宮前,164_01,宮前
165_01,南町４丁目,165_01,南町４丁目
165_02,南町４丁目,165_01,南町４丁目
166_01,地球岬団地,166_01,地球岬団地
170_01,ラッパ森,170_01,ラッパ森
170_02,ラッパ森,170_01,ラッパ森
171_01,御前水,171_01,御前水
171_02,御前水,171_01,御前水
171_05,御前水,171_01,御前水
172_01,御崎アパート前,172_01,御崎アパート前
172_02,御崎アパート前,172_01,御崎アパート前
173_01,御崎駅前,173_01,御崎駅前
173_02,御崎駅前,173_01,御崎駅前
174_01,鉄原前,174_01,鉄原前
174_02,鉄原前,174_01,鉄原前
175_01,トヨタ前,175_01,トヨタ前
175_02,トヨタ前,175_01,トヨタ前
176_01,大沢１丁目,176_01,大沢１丁目
176_02,大沢１丁目,176_01,大沢１丁目
177_01,輪西駅前,177_01,輪西駅前
177_02,輪西駅前,177_01,輪西駅前
178_01,日本製鉄前,178_01,日本製鉄前
178_02,日本製鉄前,178_01,日本製鉄前
178_05,日本製鉄前,178_01,日本製鉄前
179_01,輪西九条通,179_01,輪西九条通
179_02,輪西九条通,179_01,輪西九条通
181_01,日本製鉄球場前,181_01,日本製鉄球場前
181_02,日本製鉄球場前,181_01,日本製鉄球場前
182_01,末広,182_01,末広
182_02,末広,182_01,末広
183_01,潮見公園入口,183_01,潮見公園入口
183_02,潮見公園入口,183_01,潮見公園入口
184_01,市民会館前,184_01,市民会館前
184_02,市民会館前,184_01,市民会館前
185_01,弥生ショッピングセンター,185_01,弥生ショッピングセンター
185_02,弥生ショッピングセンター,185_01,弥生ショッピングセンター
186_01,高平通入口,186_01,高平通入口
187_02,本輪西３丁目,187_02,本輪西３丁目
188_01,本輪西４丁目,188_01,本輪西４丁目
188_02,本輪西４丁目,188_01,本輪西４丁目
189_01,大学会館前,189_01,大学会館前
192_01,東町５丁目,192_01,東町５丁目
192_02,東町５丁目,192_01,東町５丁目
192_04,東町５丁目,192_01,東町５丁目
193_01,工業団地,193_01,工業団地
193_02,工業団地,193_01,工業団地
194_02,東町４丁目,194_02,東町４丁目
200_01,室蘭警察署前,200_01,室蘭警察署前
200_02,室蘭警察署前,200_01,室蘭警察署前
201_01,汐見,201_01,汐見
201_02,汐見,201_01,汐見
201_05,汐見,201_01,汐見
211_02,東町ターミナル,211_02,東町ターミナル
211_03,東町ターミナル,211_02,東町ターミナル
211_05,東町ターミナル,211_02,東町ターミナル
211_15,東町ターミナル,211_02,東町ターミナル
211_16,東町ターミナル,211_02,東町ターミナル
211_32,東町ターミナル,211_02,東町ターミナル
221_01,東町中央,221_01,東町中央
221_02,東町中央,221_01,東町中央
231_01,東町２丁目,231_01,東町２丁目
231_02,東町２丁目,231_01,東町２丁目
231_10,東町２丁目,231_01,東町２丁目
241_01,太平橋,241_01,太平橋
241_02,太平橋,241_01,太平橋
241_03,太平橋,241_01,太平橋
241_04,太平橋,241_01,太平橋
251_01,中島町４丁目,251_01,中島町４丁目
251_02,中島町４丁目,251_01,中島町４丁目
261_01,東室蘭駅西口,261_01,東室蘭駅西口
261_02,東室蘭駅西口,261_01,東室蘭駅西口
262_02,東室蘭駅東口,262_02,東室蘭駅東口
262_17,東室蘭駅東口,262_02,東室蘭駅東口
271_01,体育館前,271_01,体育館前
271_02,体育館前,271_01,体育館前
281_01,大川原病院前,281_01,大川原病院前
281_02,大川原病院前,281_01,大川原病院前
282_01,寿町１丁目,282_01,寿町１丁目
282_02,寿町１丁目,282_01,寿町１丁目
291_01,宮の森４丁目,291_01,宮の森４丁目
291_02,宮の森４丁目,291_01,宮の森４丁目
291_03,宮の森４丁目,291_01,宮の森４丁目
291_04,宮の森４丁目,291_01,宮の森４丁目
301_01,宮の森３丁目,301_01,宮の森３丁目
301_02,宮の森３丁目,301_01,宮の森３丁目
302_01,高砂１丁目,302_01,高砂１丁目
302_02,高砂１丁目,302_01,高砂１丁目
303_01,緑ケ丘,303_01,緑ケ丘
303_02,緑ケ丘,303_01,緑ケ丘
304_01,ＪＲアパート前,304_01,ＪＲアパート前
304_02,ＪＲアパート前,304_01,ＪＲアパート前
311_01,中島公園前,311_01,中島公園前
311_02,中島公園前,311_01,中島公園前
321_01,工業高校前,321_01,工業高校前
321_02,工業高校前,321_01,工業高校前
322_01,高砂公園前,322_01,高砂公園前
322_02,高砂公園前,322_01,高砂公園前
323_01,高砂２丁目,323_01,高砂２丁目
323_02,高砂２丁目,323_01,高砂２丁目
331_01,寿町３丁目,331_01,寿町３丁目
331_02,寿町３丁目,331_01,寿町３丁目
332_01,寿町２丁目,332_01,寿町２丁目
332_02,寿町２丁目,332_01,寿町２丁目
333_01,日の出町１丁目,333_01,日の出町１丁目
333_02,日の出町１丁目,333_01,日の出町１丁目
334_01,日の出町２丁目,334_01,日の出町２丁目
334_02,日の出町２丁目,334_01,日の出町２丁目
341_01,鷲別,341_01,鷲別
341_02,鷲別,341_01,鷲別
341_03,鷲別,341_01,鷲別
341_04,鷲別,341_01,鷲別
351_01,鷲別駅前,351_01,鷲別駅前
351_02,鷲別駅前,351_01,鷲別駅前
361_01,高砂十字街,361_01,高砂十字街
361_02,高砂十字街,361_01,高砂十字街
371_01,高砂局前,371_01,高砂局前
371_02,高砂局前,371_01,高砂局前
381_01,高砂３丁目,381_01,高砂３丁目
381_02,高砂３丁目,381_01,高砂３丁目
382_01,高砂４丁目,382_01,高砂４丁目
382_02,高砂４丁目,382_01,高砂４丁目
383_01,東翔高校前,383_01,東翔高校前
383_02,東翔高校前,383_01,東翔高校前
384_01,高砂５丁目,384_01,高砂５丁目
384_02,高砂５丁目,384_01,高砂５丁目
391_01,工大,391_01,工大
391_02,工大,391_01,工大
401_01,工大研修所前,401_01,工大研修所前
402_01,室蘭ろう学校前,402_01,室蘭ろう学校前
403_01,水元団地中央,403_01,水元団地中央
