stop_id,stop_name,similar_stop_id,similar_stop_name
S0119000001,新富良野プリンスホテル,S0119000001,新富良野プリンスホテル
S011900000100000,新富良野プリンスホテル,S0119000001,新富良野プリンスホテル
S0119000002,御料４線,S0119000002,御料４線
S011900000200000,御料４線,S0119000002,御料４線
S0119000003,富良野プリンスホテル,S0119000003,富良野プリンスホテル
S011900000300000,富良野プリンスホテル,S0119000003,富良野プリンスホテル
S0119000004,ホテルナトゥールヴァルト,S0119000004,ホテルナトゥールヴァルト
S011900000400000,ホテルナトゥールヴァルト,S0119000004,ホテルナトゥールヴァルト
S0119000005,基線,S0119000005,基線
S011900000500000,基線,S0119000005,基線
S0119000006,市場前,S0119000006,市場前
S011900000600000,市場前,S0119000006,市場前
S0119000007,本通５丁目,S0119000007,本通５丁目
S011900000700000,本通５丁目,S0119000007,本通５丁目
S0119000008,十字街［旭・御］,S0119000008,十字街［旭・御］
S011900000800000,十字街［旭・御］,S0119000008,十字街［旭・御］
S0119000009,富良野駅,S0119000009,富良野駅
S011900000900000,富良野駅,S0119000009,富良野駅
S0119000010,十字街［旭・西］,S0119000010,十字街［旭・西］
S011900001000000,十字街［旭・西］,S0119000010,十字街［旭・西］
S0119000011,中富良野,S0119000011,中富良野
S011900001100000,中富良野,S0119000011,中富良野
S0119000012,上富良野役場前,S0119000012,上富良野役場前
S011900001200000,上富良野役場前,S0119000012,上富良野役場前
S0119000013,上富良野,S0119000013,上富良野
S011900001300000,上富良野,S0119000013,上富良野
S0119000014,深山峠,S0119000014,深山峠
S011900001400000,深山峠,S0119000014,深山峠
S0119000015,美瑛駅,S0119000015,美瑛駅
S011900001500000,美瑛駅,S0119000015,美瑛駅
S0119000016,美瑛,S0119000016,美瑛
S011900001600000,美瑛,S0119000016,美瑛
S0119000017,旭川空港,S0119000017,旭川空港
S011900001700000,旭川空港,S0119000017,旭川空港
S0119000018,基線８号,S0119000018,基線８号
S011900001800000,基線８号,S0119000018,基線８号
S0119000019,旭川医大,S0119000019,旭川医大
S011900001900000,旭川医大,S0119000019,旭川医大
S0119000020,旭川医大病院前,S0119000020,旭川医大病院前
S011900002000000,旭川医大病院前,S0119000020,旭川医大病院前
S0119000021,旭川厚生病院,S0119000021,旭川厚生病院
S011900002100000,旭川厚生病院,S0119000021,旭川厚生病院
S0119000022,旭川駅前,S0119000022,旭川駅前
S011900002200000,旭川駅前,S0119000022,旭川駅前
S0119000023,協会病院,S0119000023,協会病院
S011900002300000,協会病院,S0119000023,協会病院
S0119000024,本通り３丁目,S0119000024,本通り３丁目
S011900002400000,本通り３丁目,S0119000024,本通り３丁目
S0119000025,北の峰住宅前,S0119000025,北の峰住宅前
S011900002500000,北の峰住宅前,S0119000025,北の峰住宅前
S0119000026,プリンスホテル入口,S0119000026,プリンスホテル入口
S011900002600000,プリンスホテル入口,S0119000026,プリンスホテル入口
S0119000027,１線,S0119000027,１線
S011900002700000,１線,S0119000027,１線
S0119000028,２線,S0119000028,２線
S011900002800000,２線,S0119000028,２線
S0119000029,３線,S0119000029,３線
S011900002900000,３線,S0119000029,３線
S0119000030,５線［中御料］,S0119000030,５線［中御料］
S011900003000000,５線［中御料］,S0119000030,５線［中御料］
S0119000031,６線［中御料］,S0119000031,６線［中御料］
S011900003100000,６線［中御料］,S0119000031,６線［中御料］
S0119000032,７線［上御料］,S0119000032,７線［上御料］
S011900003200000,７線［上御料］,S0119000032,７線［上御料］
S0119000033,８線［上御料］,S0119000033,８線［上御料］
S011900003300000,８線［上御料］,S0119000033,８線［上御料］
S0119000034,９線［上御料］,S0119000034,９線［上御料］
S011900003400000,９線［上御料］,S0119000034,９線［上御料］
S0119000035,桂木町,S0119000035,桂木町
S011900003500000,桂木町,S0119000035,桂木町
S0119000036,西病院,S0119000036,西病院
S011900003600000,西病院,S0119000036,西病院
S0119000037,新富町,S0119000037,新富町
S011900003700000,新富町,S0119000037,新富町
S0119000038,神社前［若松町］,S0119000038,神社前［若松町］
S011900003800000,神社前［若松町］,S0119000038,神社前［若松町］
S0119000039,フラノマルシェ［西］,S0119000039,フラノマルシェ［西］
S011900003900000,フラノマルシェ［西］,S0119000039,フラノマルシェ［西］
S0119000040,富良野高校前,S0119000040,富良野高校前
S011900004000000,富良野高校前,S0119000040,富良野高校前
S0119000041,警察署前［富良野市］,S0119000041,警察署前［富良野市］
S011900004100000,警察署前［富良野市］,S0119000041,警察署前［富良野市］
S0119000042,扇山小学校,S0119000042,扇山小学校
S011900004200000,扇山小学校,S0119000042,扇山小学校
S0119000043,緑町住宅前,S0119000043,緑町住宅前
S011900004300000,緑町住宅前,S0119000043,緑町住宅前
S0119000044,南町入口,S0119000044,南町入口
S011900004400000,南町入口,S0119000044,南町入口
S0119000045,６線［西扇山］,S0119000045,６線［西扇山］
S011900004500000,６線［西扇山］,S0119000045,６線［西扇山］
S0119000046,７線［北扇山］,S0119000046,７線［北扇山］
S011900004600000,７線［北扇山］,S0119000046,７線［北扇山］
S0119000047,扇山,S0119000047,扇山
S011900004700000,扇山,S0119000047,扇山
S0119000048,南５号,S0119000048,南５号
S011900004800000,南５号,S0119000048,南５号
S0119000049,麓郷入口,S0119000049,麓郷入口
S011900004900000,麓郷入口,S0119000049,麓郷入口
S0119000050,布部入口,S0119000050,布部入口
S011900005000000,布部入口,S0119000050,布部入口
S0119000051,布部学校前,S0119000051,布部学校前
S011900005100000,布部学校前,S0119000051,布部学校前
S0119000052,１０線,S0119000052,１０線
S011900005200000,１０線,S0119000052,１０線
S0119000053,１１線,S0119000053,１１線
S011900005300000,１１線,S0119000053,１１線
S0119000054,１２線,S0119000054,１２線
S011900005400000,１２線,S0119000054,１２線
S0119000055,１３線,S0119000055,１３線
S011900005500000,１３線,S0119000055,１３線
S0119000056,１４線,S0119000056,１４線
S011900005600000,１４線,S0119000056,１４線
S0119000057,１５線,S0119000057,１５線
S011900005700000,１５線,S0119000057,１５線
S0119000058,１６線,S0119000058,１６線
S011900005800000,１６線,S0119000058,１６線
S0119000059,１７線,S0119000059,１７線
S011900005900000,１７線,S0119000059,１７線
S0119000060,鉱山前,S0119000060,鉱山前
S011900006000000,鉱山前,S0119000060,鉱山前
S0119000061,山部,S0119000061,山部
S011900006100000,山部,S0119000061,山部
S0119000062,山部南３丁目,S0119000062,山部南３丁目
S011900006200000,山部南３丁目,S0119000062,山部南３丁目
S0119000063,２１線,S0119000063,２１線
S011900006300000,２１線,S0119000063,２１線
