stop_id,stop_name,similar_stop_id,similar_stop_name
001,JR函館駅前,001,JR函館駅前
001_1,JR函館駅前,001,JR函館駅前
002,フェリーターミナル,002,フェリーターミナル
002_1,フェリーターミナル,002,フェリーターミナル
003,ベイエリア前,003,ベイエリア前
003_1,ベイエリア前,003,ベイエリア前
004,ホテルWBFグランデ函館前,004,ホテルWBFグランデ函館前
004_1,ホテルWBFグランデ函館前,004,ホテルWBFグランデ函館前
005,ラビスタ函館ベイ前,005,ラビスタ函館ベイ前
005_1,ラビスタ函館ベイ前,005,ラビスタ函館ベイ前
006,開港通り入口,006,開港通り入口
006_1,開港通り入口,006,開港通り入口
006_2,開港通り入口,006,開港通り入口
007,競輪場前,007,競輪場前
007_1,競輪場前,007,競輪場前
008,五稜郭公園入口,008,五稜郭公園入口
008_1,五稜郭公園入口,008,五稜郭公園入口
008_2,五稜郭公園入口,008,五稜郭公園入口
009,五稜郭法華クラブ前,009,五稜郭法華クラブ前
009_1,五稜郭法華クラブ前,009,五稜郭法華クラブ前
010,市民会館アリーナ前,010,市民会館アリーナ前
010_1,市民会館アリーナ前,010,市民会館アリーナ前
010_2,市民会館アリーナ前,010,市民会館アリーナ前
011,新函館北斗駅,011,新函館北斗駅
011_1,新函館北斗駅,011,新函館北斗駅
012,大森町,012,大森町
012_1,大森町,012,大森町
012_2,大森町,012,大森町
013,湯の川温泉,013,湯の川温泉
013_1,湯の川温泉,013,湯の川温泉
013_2,湯の川温泉,013,湯の川温泉
014,湯の川花びしﾎﾃﾙ前,014,湯の川花びしﾎﾃﾙ前
014_1,湯の川花びしﾎﾃﾙ前,014,湯の川花びしﾎﾃﾙ前
015,函館空港,015,函館空港
015_1,函館空港,015,函館空港
016,函館国際ホテル前,016,函館国際ホテル前
016_1,函館国際ホテル前,016,函館国際ホテル前
016_2,函館国際ホテル前,016,函館国際ホテル前
