stop_id,stop_name,similar_stop_id,similar_stop_name
01,湯の川,01,湯の川
01_1,湯の川,01,湯の川
01_2,湯の川,01,湯の川
02,湯の川温泉,02,湯の川温泉
02_1,湯の川温泉,02,湯の川温泉
02_2,湯の川温泉,02,湯の川温泉
03,函館アリーナ前（市民会館前）,03,函館アリーナ前（市民会館前）
03_1,函館アリーナ前（市民会館前）,03,函館アリーナ前（市民会館前）
03_2,函館アリーナ前（市民会館前）,03,函館アリーナ前（市民会館前）
04,駒場車庫前,04,駒場車庫前
04_1,駒場車庫前,04,駒場車庫前
04_2,駒場車庫前,04,駒場車庫前
05,競馬場前,05,競馬場前
05_1,競馬場前,05,競馬場前
05_2,競馬場前,05,競馬場前
06,深堀町,06,深堀町
06_1,深堀町,06,深堀町
06_2,深堀町,06,深堀町
07,柏木町,07,柏木町
07_1,柏木町,07,柏木町
07_2,柏木町,07,柏木町
08,杉並町,08,杉並町
08_1,杉並町,08,杉並町
08_2,杉並町,08,杉並町
09,五稜郭公園前,09,五稜郭公園前
09_1,五稜郭公園前,09,五稜郭公園前
09_2,五稜郭公園前,09,五稜郭公園前
10,中央病院前,10,中央病院前
10_1,中央病院前,10,中央病院前
10_2,中央病院前,10,中央病院前
11,千代台,11,千代台
11_1,千代台,11,千代台
11_2,千代台,11,千代台
12,堀川町,12,堀川町
12_1,堀川町,12,堀川町
12_2,堀川町,12,堀川町
13,昭和橋,13,昭和橋
13_1,昭和橋,13,昭和橋
13_2,昭和橋,13,昭和橋
14,千歳町,14,千歳町
14_1,千歳町,14,千歳町
14_2,千歳町,14,千歳町
15,新川町,15,新川町
15_1,新川町,15,新川町
15_2,新川町,15,新川町
16,松風町,16,松風町
16_1,松風町,16,松風町
16_2,松風町,16,松風町
17,函館駅前,17,函館駅前
17_1,函館駅前,17,函館駅前
17_2,函館駅前,17,函館駅前
18,市役所前,18,市役所前
18_1,市役所前,18,市役所前
18_2,市役所前,18,市役所前
19,魚市場通,19,魚市場通
19_1,魚市場通,19,魚市場通
19_2,魚市場通,19,魚市場通
20,十字街,20,十字街
20_1,十字街,20,十字街
20_2,十字街,20,十字街
21,宝来町,21,宝来町
21_1,宝来町,21,宝来町
21_2,宝来町,21,宝来町
22,青柳町,22,青柳町
22_1,青柳町,22,青柳町
22_2,青柳町,22,青柳町
23,谷地頭,23,谷地頭
23_1,谷地頭,23,谷地頭
23_2,谷地頭,23,谷地頭
24,末広町,24,末広町
24_1,末広町,24,末広町
24_2,末広町,24,末広町
25,大町,25,大町
25_1,大町,25,大町
25_2,大町,25,大町
26,函館どつく前,26,函館どつく前
26_1,函館どつく前,26,函館どつく前
26_2,函館どつく前,26,函館どつく前
