stop_id,stop_name,similar_stop_id,similar_stop_name
S0111000001,有磯営業所前,S0111000001,有磯営業所前
S011100000100000,有磯営業所前,S0111000001,有磯営業所前
S011100000100001,有磯営業所前,S0111000001,有磯営業所前
S0111000003,ゲートボール場前,S0111000003,ゲートボール場前
S011100000300000,ゲートボール場前,S0111000003,ゲートボール場前
S0111000005,駒場町２丁目,S0111000005,駒場町２丁目
S011100000500000,駒場町２丁目,S0111000005,駒場町２丁目
S0111000006,望洋団地東,S0111000006,望洋団地東
S011100000600000,望洋団地東,S0111000006,望洋団地東
S0111000007,望洋団地中央,S0111000007,望洋団地中央
S011100000700000,望洋団地中央,S0111000007,望洋団地中央
S0111000008,望洋団地入口,S0111000008,望洋団地入口
S011100000800000,望洋団地入口,S0111000008,望洋団地入口
S0111000009,北浜町,S0111000009,北浜町
S011100000900000,北浜町,S0111000009,北浜町
S0111000010,琴平町２丁目,S0111000010,琴平町２丁目
S011100001000000,琴平町２丁目,S0111000010,琴平町２丁目
S0111000011,汐見町,S0111000011,汐見町
S011100001100000,汐見町,S0111000011,汐見町
S0111000012,千島町,S0111000012,千島町
S011100001200000,千島町,S0111000012,千島町
S0111000013,市立病院前（根室市）,S0111000013,市立病院前（根室市）
S011100001300000,市立病院前（根室市）,S0111000013,市立病院前（根室市）
S011100001300001,市立病院前（根室市）,S0111000013,市立病院前（根室市）
S0111000014,花咲町二丁目,S0111000014,花咲町二丁目
S011100001400000,花咲町二丁目,S0111000014,花咲町二丁目
S011100001400001,花咲町二丁目,S0111000014,花咲町二丁目
S0111000015,弥栄町一丁目,S0111000015,弥栄町一丁目
S011100001500000,弥栄町一丁目,S0111000015,弥栄町一丁目
S011100001500001,弥栄町一丁目,S0111000015,弥栄町一丁目
S0111000016,市役所前（根室市）,S0111000016,市役所前（根室市）
S011100001600000,市役所前（根室市）,S0111000016,市役所前（根室市）
S011100001600001,市役所前（根室市）,S0111000016,市役所前（根室市）
S0111000017,駅前ターミナル（根室駅）,S0111000017,駅前ターミナル（根室駅）
S011100001700000,駅前ターミナル（根室駅）,S0111000017,駅前ターミナル（根室駅）
S011100001700001,駅前ターミナル（根室駅）,S0111000017,駅前ターミナル（根室駅）
S0111000018,振興局前（根室市）,S0111000018,振興局前（根室市）
