stop_id,stop_name,similar_stop_id,similar_stop_name
S0110000001,駅前ターミナル（稚内駅）,S0110000001,駅前ターミナル（稚内駅）
S011000000100000,駅前ターミナル（稚内駅）,S0110000001,駅前ターミナル（稚内駅）
S011000000100001,駅前ターミナル（稚内駅）,S0110000001,駅前ターミナル（稚内駅）
S011000000100002,駅前ターミナル（稚内駅）,S0110000001,駅前ターミナル（稚内駅）
S0110000002,中央三丁目,S0110000002,中央三丁目
S011000000200000,中央三丁目,S0110000002,中央三丁目
S0110000003,中央四丁目,S0110000003,中央四丁目
S011000000300000,中央四丁目,S0110000003,中央四丁目
S011000000300001,中央四丁目,S0110000003,中央四丁目
S0110000004,中央五丁目,S0110000004,中央五丁目
S011000000400000,中央五丁目,S0110000004,中央五丁目
S0110000005,港二丁目,S0110000005,港二丁目
S011000000500000,港二丁目,S0110000005,港二丁目
S011000000500001,港二丁目,S0110000005,港二丁目
S0110000006,消防署前（稚内市）,S0110000006,消防署前（稚内市）
S011000000600000,消防署前（稚内市）,S0110000006,消防署前（稚内市）
S0110000007,港五丁目,S0110000007,港五丁目
S011000000700000,港五丁目,S0110000007,港五丁目
S0110000008,南駅前［国道４０号］,S0110000008,南駅前［国道４０号］
S011000000800000,南駅前［国道４０号］,S0110000008,南駅前［国道４０号］
S0110000009,大黒三丁目［国道４０号］,S0110000009,大黒三丁目［国道４０号］
S011000000900000,大黒三丁目［国道４０号］,S0110000009,大黒三丁目［国道４０号］
S011000000900001,大黒三丁目［国道４０号］,S0110000009,大黒三丁目［国道４０号］
S0110000010,大黒四丁目,S0110000010,大黒四丁目
S011000001000000,大黒四丁目,S0110000010,大黒四丁目
S011000001000001,大黒四丁目,S0110000010,大黒四丁目
S0110000011,潮見一丁目,S0110000011,潮見一丁目
S011000001100000,潮見一丁目,S0110000011,潮見一丁目
S011000001100001,潮見一丁目,S0110000011,潮見一丁目
S0110000012,潮見三丁目,S0110000012,潮見三丁目
S011000001200000,潮見三丁目,S0110000012,潮見三丁目
S011000001200001,潮見三丁目,S0110000012,潮見三丁目
S0110000013,潮見五丁目,S0110000013,潮見五丁目
S011000001300000,潮見五丁目,S0110000013,潮見五丁目
S011000001300001,潮見五丁目,S0110000013,潮見五丁目
S0110000014,はまなす一丁目,S0110000014,はまなす一丁目
S011000001400000,はまなす一丁目,S0110000014,はまなす一丁目
S011000001400001,はまなす一丁目,S0110000014,はまなす一丁目
S0110000015,はまなす団地,S0110000015,はまなす団地
S011000001500000,はまなす団地,S0110000015,はまなす団地
S011000001500001,はまなす団地,S0110000015,はまなす団地
S0110000016,はまなす三丁目,S0110000016,はまなす三丁目
S011000001600000,はまなす三丁目,S0110000016,はまなす三丁目
S011000001600001,はまなす三丁目,S0110000016,はまなす三丁目
S0110000017,はまなす四丁目,S0110000017,はまなす四丁目
S011000001700000,はまなす四丁目,S0110000017,はまなす四丁目
S011000001700001,はまなす四丁目,S0110000017,はまなす四丁目
S0110000018,はまなす五丁目,S0110000018,はまなす五丁目
S011000001800000,はまなす五丁目,S0110000018,はまなす五丁目
S011000001800001,はまなす五丁目,S0110000018,はまなす五丁目
S0110000019,声問一丁目,S0110000019,声問一丁目
S011000001900000,声問一丁目,S0110000019,声問一丁目
S011000001900001,声問一丁目,S0110000019,声問一丁目
S0110000020,声問局前,S0110000020,声問局前
S011000002000000,声問局前,S0110000020,声問局前
S011000002000001,声問局前,S0110000020,声問局前
S0110000021,声問橋,S0110000021,声問橋
S011000002100000,声問橋,S0110000021,声問橋
S0110000022,声問,S0110000022,声問
S011000002200000,声問,S0110000022,声問
S0110000037,萩見一丁目,S0110000037,萩見一丁目
S011000003700000,萩見一丁目,S0110000037,萩見一丁目
S0110000038,栄三丁目,S0110000038,栄三丁目
S011000003800000,栄三丁目,S0110000038,栄三丁目
S0110000039,栄二丁目,S0110000039,栄二丁目
S011000003900000,栄二丁目,S0110000039,栄二丁目
S0110000040,大黒五丁目［富岡線］,S0110000040,大黒五丁目［富岡線］
S011000004000000,大黒五丁目［富岡線］,S0110000040,大黒五丁目［富岡線］
S0110000041,市役所前（稚内市）,S0110000041,市役所前（稚内市）
S011000004100000,市役所前（稚内市）,S0110000041,市役所前（稚内市）
S011000004100001,市役所前（稚内市）,S0110000041,市役所前（稚内市）
S0110000042,稚内郵便局前,S0110000042,稚内郵便局前
S011000004200000,稚内郵便局前,S0110000042,稚内郵便局前
S011000004200001,稚内郵便局前,S0110000042,稚内郵便局前
S0110000043,神社前,S0110000043,神社前
S011000004300000,神社前,S0110000043,神社前
S011000004300001,神社前,S0110000043,神社前
S0110000044,中央公園前,S0110000044,中央公園前
S011000004400000,中央公園前,S0110000044,中央公園前
S011000004400001,中央公園前,S0110000044,中央公園前
S0110000045,港一丁目,S0110000045,港一丁目
S011000004500000,港一丁目,S0110000045,港一丁目
