stop_id,stop_name,similar_stop_id,similar_stop_name
1000_親,帯広駅バスターミナル,1000_親,帯広駅バスターミナル
1000_01,帯広駅バスターミナル,1000_親,帯広駅バスターミナル
1000_02,帯広駅バスターミナル,1000_親,帯広駅バスターミナル
1000_03,帯広駅バスターミナル,1000_親,帯広駅バスターミナル
1000_04,帯広駅バスターミナル,1000_親,帯広駅バスターミナル
1000_06,帯広駅バスターミナル,1000_親,帯広駅バスターミナル
1001_01,駅北11丁目,1001_01,駅北11丁目
1003_01,西2条9丁目,1003_01,西2条9丁目
1005_01,西2条7丁目,1005_01,西2条7丁目
1007_01,西2条4丁目,1007_01,西2条4丁目
1007_02,西2条4丁目,1007_01,西2条4丁目
1008_01,西2条2丁目,1008_01,西2条2丁目
1009_01,西2条1丁目,1009_01,西2条1丁目
1009_02,西2条1丁目,1009_01,西2条1丁目
1009_03,西2条1丁目,1009_01,西2条1丁目
1101_01,西5条1丁目,1101_01,西5条1丁目
1101_02,西5条1丁目,1101_01,西5条1丁目
1102_01,西5条北3丁目,1102_01,西5条北3丁目
1102_02,西5条北3丁目,1102_01,西5条北3丁目
1103_01,西5条北4丁目,1103_01,西5条北4丁目
1103_02,西5条北4丁目,1103_01,西5条北4丁目
1104_01,西7条北4丁目,1104_01,西7条北4丁目
1104_02,西7条北4丁目,1104_01,西7条北4丁目
1105_01,西9条北4丁目,1105_01,西9条北4丁目
1105_02,西9条北4丁目,1105_01,西9条北4丁目
1106_01,西11条北5丁目,1106_01,西11条北5丁目
1106_02,西11条北5丁目,1106_01,西11条北5丁目
1107_01,西13条北5丁目,1107_01,西13条北5丁目
1107_02,西13条北5丁目,1107_01,西13条北5丁目
1108_01,西13条北6丁目,1108_01,西13条北6丁目
1108_02,西13条北6丁目,1108_01,西13条北6丁目
1109_01,一中前,1109_01,一中前
1109_02,一中前,1109_01,一中前
1110_01,西13条北8丁目,1110_01,西13条北8丁目
1110_02,西13条北8丁目,1110_01,西13条北8丁目
1111_01,西15条北8丁目,1111_01,西15条北8丁目
1111_02,西15条北8丁目,1111_01,西15条北8丁目
1112_01,西16条北2丁目,1112_01,西16条北2丁目
1112_02,西16条北2丁目,1112_01,西16条北2丁目
1113_01,西17条北2丁目,1113_01,西17条北2丁目
1113_02,西17条北2丁目,1113_01,西17条北2丁目
1114_01,栄保育園前,1114_01,栄保育園前
1114_02,栄保育園前,1114_01,栄保育園前
1150_01,拓殖バス本社前,1150_01,拓殖バス本社前
1150_02,拓殖バス本社前,1150_01,拓殖バス本社前
1120_01,北報和,1120_01,北報和
1120_02,北報和,1120_01,北報和
1121_01,国立帯広病院前,1121_01,国立帯広病院前
1121_02,国立帯広病院前,1121_01,国立帯広病院前
1122_01,西17条北1丁目,1122_01,西17条北1丁目
1122_02,西17条北1丁目,1122_01,西17条北1丁目
1123_01,栄小学校前,1123_01,栄小学校前
1123_02,栄小学校前,1123_01,栄小学校前
1124_01,西16条,1124_01,西16条
1124_02,西16条,1124_01,西16条
1125_01,西16条中央,1125_01,西16条中央
1125_02,西16条中央,1125_01,西16条中央
1126_01,開発官舎前,1126_01,開発官舎前
1126_02,開発官舎前,1126_01,開発官舎前
1127_01,西15条北3丁目,1127_01,西15条北3丁目
1127_02,西15条北3丁目,1127_01,西15条北3丁目
1128_01,協立病院前,1128_01,協立病院前
1128_02,協立病院前,1128_01,協立病院前
1129_01,玄武住宅前,1129_01,玄武住宅前
1129_02,玄武住宅前,1129_01,玄武住宅前
1130_01,西13条1丁目,1130_01,西13条1丁目
1130_02,西13条1丁目,1130_01,西13条1丁目
1131_01,西12条2丁目,1131_01,西12条2丁目
1131_02,西12条2丁目,1131_01,西12条2丁目
1132_01,西11条2丁目,1132_01,西11条2丁目
1132_02,西11条2丁目,1132_01,西11条2丁目
1133_01,西10条3丁目,1133_01,西10条3丁目
1133_02,西10条3丁目,1133_01,西10条3丁目
1134_01,北栄校前,1134_01,北栄校前
1134_02,北栄校前,1134_01,北栄校前
1181_01,問屋町6丁目,1181_01,問屋町6丁目
1181_02,問屋町6丁目,1181_01,問屋町6丁目
1135_01,西7条3丁目,1135_01,西7条3丁目
1135_02,西7条3丁目,1135_01,西7条3丁目
1136_01,西5条3丁目,1136_01,西5条3丁目
1136_02,西5条3丁目,1136_01,西5条3丁目
1137_01,西5条4丁目,1137_01,西5条4丁目
1137_02,西5条4丁目,1137_01,西5条4丁目
1182_01,帯広市役所南口,1182_01,帯広市役所南口
1182_02,帯広市役所南口,1182_01,帯広市役所南口
1138_01,NHK前,1138_01,NHK前
1138_02,NHK前,1138_01,NHK前
1139_01,帯広中央公園前,1139_01,帯広中央公園前
1004_02,西2条8丁目,1004_02,西2条8丁目
1002_02,かじのビル前,1002_02,かじのビル前
1161_01,帯広駅西口,1161_01,帯広駅西口
1162_01,西3条9丁目,1162_01,西3条9丁目
1006_02,西2条6丁目,1006_02,西2条6丁目
1206_01,記念碑前,1206_01,記念碑前
1206_02,記念碑前,1206_01,記念碑前
1201_01,帯広郵便局前,1201_01,帯広郵便局前
1201_02,帯広郵便局前,1201_01,帯広郵便局前
1202_01,帯広第2合同庁舎前,1202_01,帯広第2合同庁舎前
1202_02,帯広第2合同庁舎前,1202_01,帯広第2合同庁舎前
1203_01,西5条13丁目,1203_01,西5条13丁目
1203_02,西5条13丁目,1203_01,西5条13丁目
1204_01,長崎屋前,1204_01,長崎屋前
1204_02,長崎屋前,1204_01,長崎屋前
1205_01,第一病院前,1205_01,第一病院前
1205_02,第一病院前,1205_01,第一病院前
1207_01,春駒通8条,1207_01,春駒通8条
1207_02,春駒通8条,1207_01,春駒通8条
1208_01,春駒通10条,1208_01,春駒通10条
1208_02,春駒通10条,1208_01,春駒通10条
1209_01,春駒通12条,1209_01,春駒通12条
1209_02,春駒通12条,1209_01,春駒通12条
1210_01,春駒通13条,1210_01,春駒通13条
1210_02,春駒通13条,1210_01,春駒通13条
1211_01,緑ヶ丘小学校前,1211_01,緑ヶ丘小学校前
1211_02,緑ヶ丘小学校前,1211_01,緑ヶ丘小学校前
1212_01,緑ヶ丘大通,1212_01,緑ヶ丘大通
1212_02,緑ヶ丘大通,1212_01,緑ヶ丘大通
1213_01,緑ヶ丘6丁目（帯広美術館入口）,1213_01,緑ヶ丘6丁目（帯広美術館入口）
