stop_id,stop_name,similar_stop_id,similar_stop_name
1_01,十勝バス本社,1_01,十勝バス本社
1_02,十勝バス本社,1_01,十勝バス本社
2_01,西22条2丁目,2_01,西22条2丁目
2_02,西22条2丁目,2_01,西22条2丁目
3_01,西帯広ニュータウン,3_01,西帯広ニュータウン
3_02,西帯広ニュータウン,3_01,西帯広ニュータウン
1051_01,東9条,1051_01,東9条
1065_02,西14条9丁目,1065_02,西14条9丁目
6_01,白樺通16条,233_01,白樺通16条
6_02,白樺通16条,233_01,白樺通16条
1066_01,幕別清陵高校前,1066_01,幕別清陵高校前
8_01,NHK前,8_01,NHK前
8_02,NHK前,8_01,NHK前
9_01,西3条9丁目,9_01,西3条9丁目
9_02,西3条9丁目,9_01,西3条9丁目
9_03,西3条9丁目,9_01,西3条9丁目
10_01,東横イン・スーパーホテル前,10_01,東横イン・スーパーホテル前
10_02,東横イン・スーパーホテル前,10_01,東横イン・スーパーホテル前
11_01,帯広駅西口,11_01,帯広駅西口
11_02,帯広駅西口,11_01,帯広駅西口
11_03,帯広駅西口,11_01,帯広駅西口
12_親,帯広駅バスターミナル,12_親,帯広駅バスターミナル
12_01,帯広駅バスターミナル,12_親,帯広駅バスターミナル
12_02,帯広駅バスターミナル,12_親,帯広駅バスターミナル
12_05,帯広駅バスターミナル,12_親,帯広駅バスターミナル
12_06,帯広駅バスターミナル,12_親,帯広駅バスターミナル
12_07,帯広駅バスターミナル,12_親,帯広駅バスターミナル
12_08,帯広駅バスターミナル,12_親,帯広駅バスターミナル
12_09,帯広駅バスターミナル,12_親,帯広駅バスターミナル
12_10,帯広駅バスターミナル,12_親,帯広駅バスターミナル
12_11,帯広駅バスターミナル,12_親,帯広駅バスターミナル
12_12,帯広駅バスターミナル,12_親,帯広駅バスターミナル
12_13,帯広駅バスターミナル,12_親,帯広駅バスターミナル
12_14,帯広駅バスターミナル,12_親,帯広駅バスターミナル
13_01,大通13丁目,13_01,大通13丁目
13_02,大通13丁目,13_01,大通13丁目
14_01,大通20丁目,14_01,大通20丁目
14_02,大通20丁目,14_01,大通20丁目
15_01,大通27丁目,15_01,大通27丁目
15_02,大通27丁目,15_01,大通27丁目
16_01,大通34丁目,16_01,大通34丁目
16_02,大通34丁目,16_01,大通34丁目
17_01,西6条41丁目（真鍋庭園入口）,17_01,西6条41丁目（真鍋庭園入口）
17_02,西6条41丁目（真鍋庭園入口）,17_01,西6条41丁目（真鍋庭園入口）
17_03,西6条41丁目（真鍋庭園入口）,17_01,西6条41丁目（真鍋庭園入口）
18_01,川西,18_01,川西
18_02,川西,18_01,川西
19_01,愛国入口,19_01,愛国入口
19_02,愛国入口,19_01,愛国入口
20_01,大正本町,20_01,大正本町
20_02,大正本町,20_01,大正本町
21_01,幸福駅,21_01,幸福駅
21_02,幸福駅,21_01,幸福駅
22_01,とかち帯広空港,22_01,とかち帯広空港
23_01,十勝バス本社南口,23_01,十勝バス本社南口
23_02,十勝バス本社南口,23_01,十勝バス本社南口
24_01,西23条北1丁目,24_01,西23条北1丁目
24_02,西23条北1丁目,24_01,西23条北1丁目
25_01,西24条北1丁目,25_01,西24条北1丁目
25_02,西24条北1丁目,25_01,西24条北1丁目
26_01,六花亭前,26_01,六花亭前
27_01,国道西24条,27_01,国道西24条
27_02,国道西24条,27_01,国道西24条
27_04,国道西24条,27_01,国道西24条
28_01,14号団地,28_01,14号団地
28_02,14号団地,28_01,14号団地
29_01,西帯広団地,29_01,西帯広団地
29_02,西帯広団地,29_01,西帯広団地
30_01,西帯広団地入口,30_01,西帯広団地入口
30_02,西帯広団地入口,30_01,西帯広団地入口
31_01,西帯広コミセン前,31_01,西帯広コミセン前
31_02,西帯広コミセン前,31_01,西帯広コミセン前
32_01,西11号団地,32_01,西11号団地
32_02,西11号団地,32_01,西11号団地
33_01,西21条局前,33_01,西21条局前
33_02,西21条局前,33_01,西21条局前
34_01,西10号団地,34_01,西10号団地
34_02,西10号団地,34_01,西10号団地
35_01,啓新,35_01,啓新
35_02,啓新,35_01,啓新
36_01,三七北,36_01,三七北
36_02,三七北,36_01,三七北
37_01,柏林台通19条,37_01,柏林台通19条
37_02,柏林台通19条,37_01,柏林台通19条
38_01,柏西台橋,38_01,柏西台橋
38_02,柏西台橋,38_01,柏西台橋
39_01,西陵中学校前,39_01,西陵中学校前
39_02,西陵中学校前,39_01,西陵中学校前
40_01,柏林台通18条,40_01,柏林台通18条
40_02,柏林台通18条,40_01,柏林台通18条
41_01,柏林台北町1丁目,41_01,柏林台北町1丁目
41_02,柏林台北町1丁目,41_01,柏林台北町1丁目
42_01,柏林台北町3丁目,42_01,柏林台北町3丁目
42_02,柏林台北町3丁目,42_01,柏林台北町3丁目
43_01,柏林台北町5丁目,43_01,柏林台北町5丁目
43_02,柏林台北町5丁目,43_01,柏林台北町5丁目
44_01,西16条2丁目,44_01,西16条2丁目
44_02,西16条2丁目,44_01,西16条2丁目
45_01,西15条5丁目,45_01,西15条5丁目
45_02,西15条5丁目,45_01,西15条5丁目
46_01,新町西７丁目,46_01,新町西７丁目
46_02,新町西７丁目,46_01,新町西７丁目
47_01,新町西1丁目,47_01,新町西1丁目
47_02,新町西1丁目,47_01,新町西1丁目
48_01,西10条6丁目,48_01,西10条6丁目
48_02,西10条6丁目,48_01,西10条6丁目
49_01,帯広小学校前,49_01,帯広小学校前
49_02,帯広小学校前,49_01,帯広小学校前
50_01,西7条7丁目,50_01,西7条7丁目
50_02,西7条7丁目,50_01,西7条7丁目
51_01,帯広市役所南口,51_01,帯広市役所南口
51_02,帯広市役所南口,51_01,帯広市役所南口
52_01,帯広郵便局前,52_01,帯広郵便局前
52_02,帯広郵便局前,52_01,帯広郵便局前
53_01,駅北11丁目,53_01,駅北11丁目
54_02,かじのビル前,54_02,かじのビル前
55_01,西2条9丁目,55_01,西2条9丁目
56_02,西2条8丁目,56_02,西2条8丁目
57_01,西2条7丁目,57_01,西2条7丁目
58_02,西2条6丁目,58_02,西2条6丁目
58_03,西2条6丁目,58_02,西2条6丁目
58_04,西2条6丁目,58_02,西2条6丁目
59_01,西2条4丁目,59_01,西2条4丁目
59_02,西2条4丁目,59_01,西2条4丁目
60_01,西2条2丁目,60_01,西2条2丁目
61_01,西2条1丁目,61_01,西2条1丁目
61_02,西2条1丁目,61_01,西2条1丁目
61_03,西2条1丁目,61_01,西2条1丁目
61_04,西2条1丁目,61_01,西2条1丁目
62_01,鈴蘭公園入口,62_01,鈴蘭公園入口
62_02,鈴蘭公園入口,62_01,鈴蘭公園入口
63_01,木野郵便局前,63_01,木野郵便局前
63_02,木野郵便局前,63_01,木野郵便局前
64_01,木野農協前,64_01,木野農協前
64_02,木野農協前,64_01,木野農協前
64_03,木野農協前,64_01,木野農協前
65_01,宝来,1002_01,宝来
65_02,宝来,1002_01,宝来
66_01,宝来中央通り,66_01,宝来中央通り
66_02,宝来中央通り,66_01,宝来中央通り
67_01,宝来中央公園前,1000_01,宝来中央公園前
67_02,宝来中央公園前,1000_01,宝来中央公園前
68_01,宝来隧道前,68_01,宝来隧道前
68_02,宝来隧道前,68_01,宝来隧道前
69_01,緑南中学校前,69_01,緑南中学校前
69_02,緑南中学校前,69_01,緑南中学校前
70_01,下士幌6号,70_01,下士幌6号
70_02,下士幌6号,70_01,下士幌6号
71_01,下士幌7号,71_01,下士幌7号
71_02,下士幌7号,71_01,下士幌7号
72_01,下士幌8号,72_01,下士幌8号
72_02,下士幌8号,72_01,下士幌8号
73_01,下士幌,73_01,下士幌
73_02,下士幌,73_01,下士幌
74_01,下士幌小学校前,74_01,下士幌小学校前
74_02,下士幌小学校前,74_01,下士幌小学校前
75_01,旭橋,75_01,旭橋
75_02,旭橋,75_01,旭橋
76_01,十勝川温泉12号,76_01,十勝川温泉12号
76_02,十勝川温泉12号,76_01,十勝川温泉12号
77_01,十勝川温泉13号,77_01,十勝川温泉13号
